id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
17048,Tringa,flavipes,Lesser Yellowlegs,41.61422,-83.17215,call,2007-05-02,?,0:03,B,,,,Agelaius phoeniceus,Tringa_flavipes_Ohio_Magee_Marsh_17048.mp3,Original Recordings\Tringa_flavipes_Ohio_Magee_Marsh_17048.mp3
17047,Tringa,flavipes,Lesser Yellowlegs,41.61422,-83.17215,call,2007-05-02,?,0:17,B,,,,"Agelaius phoeniceus, Setophaga aestiva, Branta canadensis, Charadrius vociferus",Tringa_flavipes_Ohio_Magee_Marsh_17047.mp3,Original Recordings\Tringa_flavipes_Ohio_Magee_Marsh_17047.mp3
839507,Chroicocephalus,philadelphia,Bonaparte's Gull,41.9088,-82.509,call,2023-05-16,09:00,0:59,B,,,,Agelaius phoeniceus,Chroicocephalus_philadelphia_Point_Pelee_National_Park_near__Wheatley_Essex_County_Ontario_839507.mp3,Original Recordings\Chroicocephalus_philadelphia_Point_Pelee_National_Park_near__Wheatley_Essex_County_Ontario_839507.mp3
11860,Larus,delawarensis,Ring-billed Gull,41.9162,-83.3387,call,2007-03-15,?,0:37,C,,,,,Larus_delawarensis_Michigan_Sterling_SP_11860.mp3,Original Recordings\Larus_delawarensis_Michigan_Sterling_SP_11860.mp3
476265,Chlidonias,niger,Black Tern,41.9628,-82.5184,call,2019-05-13,14:00,0:11,B,,,,Agelaius phoeniceus,Chlidonias_niger_Pelee_near__Leamington_Essex_County_Ontario_476265.mp3,Original Recordings\Chlidonias_niger_Pelee_near__Leamington_Essex_County_Ontario_476265.mp3
417864,Botaurus,lentiginosus,American Bittern,39.919,-83.2065,song,2018-05-06,08:55,0:09,A,Natural vocalization from wet grassy field on windy morning.,,,,Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417864.mp3,Original Recordings\Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417864.mp3
417863,Botaurus,lentiginosus,American Bittern,39.919,-83.2065,song,2018-05-06,08:50,0:04,B,Natural vocalization from wet grassy field on windy morning.,,,,Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417863.mp3,Original Recordings\Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417863.mp3
417855,Botaurus,lentiginosus,American Bittern,39.919,-83.2065,song,2018-05-06,08:40,0:07,C,Natural vocalization from wet grassy field on windy morning.,,,"Agelaius phoeniceus, Melospiza melodia, Geothlypis trichas, Cistothorus palustris, Botaurus lentiginosus",Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417855.mp3,Original Recordings\Botaurus_lentiginosus_Battelle_Darby_Metro_Park_-_Wetlands_417855.mp3
17012,Ardea,alba,Great Egret,41.6156,-83.21604,call,2007-04-26,?,0:06,B,,,,Agelaius phoeniceus,Ardea_alba_Ohio_Ottawa_NWR_17012.mp3,Original Recordings\Ardea_alba_Ohio_Ottawa_NWR_17012.mp3
17115,Accipiter,cooperii,Cooper's Hawk,41.93338,-83.54994,"call, calls",2007-07-16,?,0:25,B,Two recently fledged juveniles begging,,juvenile,Cardinalis cardinalis,Accipiter_cooperii_Michigan_Monroe_County_17115.mp3,Original Recordings\Accipiter_cooperii_Michigan_Monroe_County_17115.mp3
